CountryName,CapitalLatitude,CapitalLongitude,ContinentName,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Afghanistan,34.516666666666666,69.183333,Asia,0,0,0,0.0
Albania,41.31666666666667,19.816667,Europe,89,132,54,4.9
Algeria,36.75,3.05,Africa,25,0,14,0.7
Andorra,42.5,1.516667,Europe,245,138,312,12.4
Angola,-8.833333333333334,13.216667,Africa,217,57,45,5.9
Antigua and Barbuda,17.116666666666667,-61.85,North America,102,128,45,4.9
Argentina,-34.583333333333336,-58.666667,South America,193,25,221,8.3
Armenia,40.16666666666666,44.5,Europe,21,179,11,3.8
Australia,-35.266666666666666,149.133333,Australia,261,72,212,10.4
Austria,48.2,16.366667,Europe,279,75,191,9.7
Azerbaijan,40.38333333333333,49.866667,Europe,21,46,5,1.3
Bahamas,25.08333333333333,-77.35,North America,122,176,51,6.3
Bahrain,26.23333333333333,50.566667,Asia,42,63,7,2.0
Bangladesh,23.716666666666665,90.4,Asia,0,0,0,0.0
Barbados,13.1,-59.616667,North America,143,173,36,6.3
Belarus,53.9,27.566667,Europe,142,373,42,14.4
Belgium,50.833333333333336,4.333333,Europe,295,84,212,10.5
Belize,17.25,-88.766667,Central America,263,114,8,6.8
Benin,6.483333333333333,2.616667,Africa,34,4,13,1.1
Bhutan,27.466666666666665,89.633333,Asia,23,0,0,0.4
Bolivia,-16.5,-68.15,South America,167,41,8,3.8
Bosnia and Herzegovina,43.86666666666667,18.416667,Europe,76,173,8,4.6
Botswana,-24.633333333333333,25.9,Africa,173,35,35,5.4
Brazil,-15.783333333333331,-47.916667,South America,245,145,16,7.2
Brunei Darussalam,4.883333333333333,114.933333,Asia,31,2,1,0.6
Bulgaria,42.68333333333333,23.316667,Europe,231,252,94,10.3
Burkina Faso,12.366666666666667,-1.516667,Africa,25,7,7,4.3
Burundi,-3.3666666666666667,29.35,Africa,88,0,0,6.3
Cambodia,11.55,104.916667,Asia,57,65,1,2.2
Cameroon,3.8666666666666663,11.516667,Africa,147,1,4,5.8
Canada,45.41666666666666,-75.7,Central America,240,122,100,8.2
